"Nom_com";"id_insee";"annee";"PO_pop";"LP_pop";"LH_pop";"LC_pop";"Autres_pop";"Total_menages_pop";"PO_menages";"LP_menages";"LH_menages";"LC_menages";"Autres_menages";"Total_menages_menages";"PO_1_pers";"LP_1_pers";"LH_1_pers";"LC_1_pers";"Autres_1_pers";"Total_menages_1_pers";"PO_2_pers";"LP_2_pers";"LH_2_pers";"LC_2_pers";"Autres_2_pers";"Total_menages_2_pers";"PO_3_pers";"LP_3_pers";"LH_3_pers";"LC_3_pers";"Autres_3_pers";"Total_menages_3_pers";"PO_4_pers";"LP_4_pers";"LH_4_pers";"LC_4_pers";"Autres_4_pers";"Total_menages_4_pers";"PO_5_pers";"LP_5_pers";"LH_5_pers";"LC_5_pers";"Autres_5_pers";"Total_menages_5_pers";"PO_6et+_pers";"LP_6et+_pers";"LH_6et+_pers";"LC_6et+_pers";"Autres_6et+_pers";"Total_menages_6et+_pers";"PO_nbper_ecart_type";"LP_nbper_ecart_type";"LH_nbper_ecart_type";"LC_nbper_ecart_type";"Autres_nbper_ecart_type";"Total_menages_nbper_ecart_type";"PO_nbper_moyenne";"LP_nbper_moyenne";"LH_nbper_moyenne";"LC_nbper_moyenne";"Autres_nbper_moyenne";"Total_menages_nbper_moyenne";"PO_surfhpp_ecart_type";"LP_surfhpp_ecart_type";"LH_surfhpp_ecart_type";"LC_surfhpp_ecart_type";"Autres_surfhpp_ecart_type";"Total_menages_surfhpp_ecart_type";"PO_surfhpp_moyenne";"LP_surfhpp_moyenne";"LH_surfhpp_moyenne";"LC_surfhpp_moyenne";"Autres_surfhpp_moyenne";"Total_menages_surfhpp_moyenne";"PO_surfhpp_mediane";"LP_surfhpp_mediane";"LH_surfhpp_mediane";"LC_surfhpp_mediane";"Autres_surfhpp_mediane";"Total_menages_surfhpp_mediane";"PO_sfp_celibataire";"LP_sfp_celibataire";"LH_sfp_celibataire";"LC_sfp_celibataire";"Autres_sfp_celibataire";"Total_menages_sfp_celibataire";"PO_sfp_divorce";"LP_sfp_divorce";"LH_sfp_divorce";"LC_sfp_divorce";"Autres_sfp_divorce";"Total_menages_sfp_divorce";"PO_sfp_marie_pacxe";"LP_sfp_marie_pacse";"LH_sfp_marie_pacse";"LC_sfp_marie_pacse";"Autres_sfp_marie_pacse";"Total_menages_sfp_marie_pacse";"PO_sfp_veuf";"LP_sfp_veuf";"LH_sfp_veuf";"LC_sfp_veuf";"Autres_sfp_veuf";"Total_menages_sfp_veuf";"PO_age_ref_<25ans";"LP_age_ref_<25ans";"LH_age_ref_<25ans";"LC_age_ref_<25ans";"Autres_age_ref_<25ans";"Total_menages_age_ref_<25ans";"PO_age_ref_25-39ans";"LP_age_ref_25-39ans";"LH_age_ref_25-39ans";"LC_age_ref_25-39ans";"Autres_age_ref_25-39ans";"Total_menages_age_ref_25-39ans";"PO_age_ref_40-59ans";"LP_age_ref_40-59ans";"LH_age_ref_40-59ans";"LC_age_ref_40-59ans";"Autres_age_ref_40-59ans";"Total_menages_age_ref_40-59ans";"PO_age_ref_60-74ans";"LP_age_ref_60-74ans";"LH_age_ref_60-74ans";"LC_age_ref_60-74ans";"Autres_age_ref_60-74ans";"Total_menages_age_ref_60-74ans";"PO_age_ref_>74ans";"LP_age_ref_>74ans";"LH_age_ref_>74ans";"LC_age_ref_>74ans";"Autres_age_ref_>74ans";"Total_menages_age_ref_>74ans";"PO_age_ref_ecart_type";"LP_age_ref_ecart_type";"LH_age_ref_ecart_type";"LC_age_ref_ecart_type";"Autres_age_ref_ecart_type";"Total_menages_age_ref_ecart_type";"PO_age_ref_moyenne";"LP_age_ref_moyenne";"LH_age_ref_moyenne";"LC_age_ref_moyenne";"Autres_age_ref_moyenne";"Total_menages_age_ref_moyenne";"PO_age_ref_mediane";"LP_age_ref_mediane";"LH_age_ref_mediane";"LC_age_ref_mediane";"Autres_age_ref_mediane";"Total_menages_age_ref_mediane";"PO_pas_enf18ans";"LP_pas_enf18ans";"LH_pas_enf18ans";"LC_pas_enf18ans";"Autres_pas_enf18ans";"Total_menages_pas_enf18ans";"PO_1et+_enf18ans";"LP_1et+_enf18ans";"LH_1et+_enf18ans";"LC_1et+_enf18ans";"Autres_1et+_enf18ans";"Total_menages_1et+_enf18ans";"PO_pas_enf6ans";"LP_pas_enf6ans";"LH_pas_enf6ans";"LC_pas_enf6ans";"Autres_pas_enf6ans";"Total_menages_pas_enf6ans";"PO_1et+_enf6ans";"LP_1et+_enf6ans";"LH_1et+_enf6ans";"LC_1et+_enf6ans";"Autres_1et+_enf6ans";"Total_menages_1et+_enf6ans";"PO_fmono_parentale";"LP_fmono_parentale";"LH_fmono_parentale";"LC_fmono_parentale";"Autres_fmono_parentale";"Total_menages_fmono_parentale";"PO_duroc_<1an";"LP_duroc_<1an";"LH_duroc_<1an";"LC_duroc_<1an";"Autres_duroc_<1an";"Total_menages_duroc_<1an";"PO_duroc_1an";"LP_duroc_1an";"LH_duroc_1an";"LC_duroc_1an";"Autres_duroc_1an";"Total_menages_duroc_1an";"PO_duroc_2ans";"LP_duroc_2ans";"LH_duroc_2ans";"LC_duroc_2ans";"Autres_duroc_2ans";"Total_menages_duroc_2ans";"PO_duroc_3-4ans";"LP_duroc_3-4ans";"LH_duroc_3-4ans";"LC_duroc_3-4ans";"Autres_duroc_3-4ans";"Total_menages_duroc_3-4ans";"PO_duroc_5-9ans";"LP_duroc_5-9ans";"LH_duroc_5-9ans";"LC_duroc_5-9ans";"Autres_duroc_5-9ans";"Total_menages_duroc_5-9ans";"PO_duroc_>9ans";"LP_duroc_>9ans";"LH_duroc_>9ans";"LC_duroc_>9ans";"Autres_duroc_>9ans";"Total_menages_duroc_>9ans";"PO_duroc_ecart_type";"LP_duroc_ecart_type";"LH_duroc_ecart_type";"LC_duroc_ecart_type";"Autres_duroc_ecart_type";"Total_menages_duroc_ecart_type";"PO_duroc_moyenne";"LP_duroc_moyenne";"LH_duroc_moyenne";"LC_duroc_moyenne";"Autres_duroc_moyenne";"Total_menages_duroc_moyenne";"PO_duroc_mediane";"LP_duroc_mediane";"LH_duroc_mediane";"LC_duroc_mediane";"Autres_duroc_mediane";"Total_menages_duroc_mediane"
"Afa";"2A001";2019;"2347";"433";"0";"s";"s";2866;"926";"204";"0";"s";"s";"1171";"193";"s";"0";"0";"s";"283";"348";"66";"0";"s";"s";"425";"178";"s";"0";"0";"s";"225";"143";"s";"0";"s";"s";"165";"s";"s";"0";"0";"0";"49";"s";"s";"0";"0";"0";"24";"1";"1";"0";"s";"s";1;"3";"2";"0";"s";"s";2;"31";"34";"0";"s";"s";32;"54";"45";"0";"s";"s";53;"47";"36";"0";"s";"s";45;"128";"90";"0";"s";"s";"236";"s";"s";"0";"s";"s";"158";"585";"61";"0";"s";"s";"662";"s";"s";"0";"0";"s";"115";"0";"s";"0";"0";"s";"s";"s";"67";"0";"s";"s";"s";"346";"85";"0";"s";"s";"452";"323";"s";"0";"s";"s";"365";"s";"s";"0";"0";"s";"213";"14";"16";"0";"s";"s";"16";"62";"49";"0";"s";"s";59;"62";"47";"0";"s";"s";59;"674";"136";"0";"s";"s";"837";"252";"68";"0";"s";"s";"334";"862";"s";"0";"s";"s";"1072";"64";"s";"0";"s";"s";"99";"55";"s";"0";"s";"s";"93";"s";"40";"0";"0";"s";"81";"s";"s";"0";"s";"s";"54";"36";"s";"0";"s";"s";"61";"72";"s";"0";"0";"s";"110";"202";"57";"0";"s";"s";"271";"554";"26";"0";"s";"s";"594";"10";"7";"0";"s";"s";"10";"14";"5";"0";"s";"s";"12";"12";"3";"0";"s";"s";10
"Ajaccio";"2A004";2019;"24808";"16911";"8587";"39";"2410";52754;"12598";"9001";"3941";"s";"s";"26812";"5199";"4568";"1489";"s";"s";"11885";"4303";"2381";"s";"s";"s";"8243";"1757";"1029";"s";"s";"s";"3564";"1020";"705";"s";"0";"s";"2174";"s";"s";"s";"0";"s";"647";"s";"s";"s";"0";"s";"299";"1";"1";"1";"1";"1";1;"2";"2";"2";"2";"2";2;"31";"23";"23";"30";"32";28;"53";"42";"43";"54";"52";47;"45";"36";"37";"46";"44";41;"2888";"3883";"1225";"s";"s";"8532";"2044";"1961";"1192";"s";"s";"5492";"5265";"2348";"s";"s";"s";"9030";"2216";"770";"s";"0";"s";"3530";"s";"196";"s";"0";"s";"238";"s";"2213";"s";"s";"s";"3965";"3775";"3408";"1722";"s";"s";"9503";"3935";"1910";"s";"s";"s";"7205";"3639";"1229";"s";"s";"s";"5665";"17";"18";"15";"s";"s";"18";"64";"53";"58";"s";"s";59;"65";"52";"57";"s";"s";59;"10332";"6839";"2739";"s";"s";"20839";"2266";"2162";"1202";"s";"s";"5973";"11866";"8127";"s";"s";"s";"24760";"732";"874";"s";"s";"s";"2052";"756";"1032";"678";"s";"s";"2621";"790";"1676";"s";"s";"s";"2964";"606";"1062";"179";"s";"s";"1981";"725";"1194";"274";"s";"s";"2293";"952";"1105";"395";"s";"s";"2602";"2473";"1798";"s";"s";"s";"5545";"7052";"2166";"1768";"s";"s";"11427";"11";"8";"9";"7";"8";"10";"14";"7";"11";"9";"8";"11";"11";"3";"8";"8";"6";7
"Alata";"2A006";2019;"2710";"372";"0";"s";"s";3202;"1042";"174";"0";"s";"s";"1275";"185";"79";"0";"0";"22";"286";"388";"38";"0";"s";"s";"448";"231";"s";"0";"0";"s";"260";"170";"s";"0";"0";"s";"203";"s";"s";"0";"0";"0";"47";"s";"s";"0";"0";"s";"31";"1";"1";"0";"s";"s";1;"3";"2";"0";"s";"s";3;"32";"40";"0";"s";"s";33;"53";"48";"0";"s";"s";52;"45";"35";"0";"s";"s";43;"119";"s";"0";"s";"s";"215";"135";"s";"0";"0";"s";"189";"654";"54";"0";"0";"17";"725";"134";"s";"0";"0";"s";"146";"0";"s";"0";"0";"s";"s";"67";"55";"0";"s";"s";"s";"426";"s";"0";"0";"s";"530";"361";"s";"0";"0";"s";"397";"188";"s";"0";"0";"s";"206";"14";"16";"0";"s";"s";"15";"61";"49";"0";"s";"s";59;"61";"48";"0";"s";"s";58;"726";"s";"0";"s";"s";"877";"316";"s";"0";"0";"s";"398";"955";"s";"0";"s";"s";"1159";"87";"s";"0";"0";"s";"116";"71";"23";"0";"0";"12";"106";"45";"s";"0";"0";"s";"81";"28";"s";"0";"0";"s";"54";"46";"s";"0";"0";"s";"69";"80";"s";"0";"s";"s";"114";"219";"s";"0";"0";"s";"283";"624";"27";"0";"0";"23";"674";"10";"5";"0";"s";"s";"10";"14";"5";"0";"s";"s";"13";"12";"4";"0";"s";"s";10
"Albitreccia";"2A008";2019;"997";"279";"0";"s";"s";1332;"475";"163";"0";"s";"s";"673";"157";"s";"0";"s";"s";"263";"196";"s";"0";"s";"s";"257";"64";"s";"0";"s";"s";"83";"s";"s";"0";"0";"0";"51";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"1";"1";"0";"s";"s";1;"2";"2";"0";"s";"s";2;"43";"31";"0";"s";"s";41;"60";"43";"0";"s";"s";55;"49";"36";"0";"s";"s";45;"s";"78";"0";"s";"s";"181";"77";"s";"0";"s";"s";"121";"245";"s";"0";"s";"s";"287";"s";"s";"0";"s";"s";"83";"s";"s";"0";"s";"0";"s";"s";"s";"0";"s";"s";"s";"148";"s";"0";"s";"s";"215";"189";"s";"0";"s";"s";"231";"123";"s";"0";"s";"s";"149";"14";"16";"0";"s";"s";"16";"65";"51";"0";"s";"s";61;"66";"49";"0";"s";"s";62;"391";"s";"0";"s";"s";"542";"84";"s";"0";"s";"s";"131";"452";"s";"0";"s";"s";"630";"23";"s";"0";"s";"s";"43";"s";"s";"0";"s";"s";"53";"s";"s";"0";"s";"s";"63";"37";"s";"0";"0";"s";"57";"s";"s";"0";"s";"0";"39";"46";"s";"0";"s";"s";"92";"91";"s";"0";"0";"s";"143";"254";"s";"0";"s";"s";"279";"9";"5";"0";"s";"s";"8";"11";"5";"0";"s";"s";"9";"11";"3";"0";"s";"s";7
"Altagène";"2A011";2019;"24";"12";"0";"s";"s";51;"s";"s";"0";"s";"s";"25";"s";"s";"0";"0";"s";"12";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"s";"0";"s";"0";"s";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"1";"s";"0";"s";"s";1;"2";"s";"0";"s";"s";2;"26";"s";"0";"s";"s";33;"61";"s";"0";"s";"s";57;"56";"s";"0";"s";"s";51;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"11";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"10";"s";"0";"s";"s";"16";"72";"s";"0";"s";"s";64;"71";"s";"0";"s";"s";67;"s";"s";"0";"0";"s";"s";"0";"s";"0";"s";"s";"s";"s";"s";"0";"s";"s";"s";"0";"s";"0";"0";"s";"s";"0";"s";"0";"0";"0";"s";"0";"0";"0";"s";"0";"s";"0";"0";"0";"0";"s";"s";"0";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"9";"s";"0";"s";"s";"8";"12";"s";"0";"s";"s";"10";"11";"s";"0";"s";"s";8
"Ambiegna";"2A014";2019;"s";"s";"0";"s";"s";53;"s";"s";"0";"s";"s";"24";"s";"s";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"s";2;"s";"s";"0";"s";"s";2;"s";"s";"0";"s";"s";29;"s";"s";"0";"s";"s";42;"s";"s";"0";"s";"s";39;"s";"0";"0";"s";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"s";"0";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"s";"0";"s";"s";"16";"s";"s";"0";"s";"s";75;"s";"s";"0";"s";"s";79;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"0";"s";"s";"0";"0";"s";"s";"s";"s";"s";"0";"s";"s";"9";"s";"s";"0";"s";"s";"15";"s";"s";"0";"s";"s";15
"Appietto";"2A017";2019;"1354";"233";"0";"0";"56";1643;"531";"111";"0";"0";"27";"669";"120";"s";"0";"0";"s";"178";"193";"26";"0";"0";"14";"233";"92";"s";"0";"0";"s";"111";"85";"s";"0";"0";"s";"98";"s";"s";"0";"0";"s";"29";"s";"s";"0";"0";"0";"20";"1";"1";"0";"0";"1";1;"3";"2";"0";"0";"2";2;"35";"31";"0";"0";"34";34;"54";"45";"0";"0";"49";52;"45";"39";"0";"0";"38";42;"80";"s";"0";"0";"s";"139";"s";"s";"0";"0";"s";"107";"319";"29";"0";"0";"11";"359";"s";"s";"0";"0";"s";"63";"0";"s";"0";"0";"0";"s";"s";"32";"0";"0";"s";"s";"223";"s";"0";"0";"s";"286";"168";"s";"0";"0";"s";"191";"s";"s";"0";"0";"s";"124";"15";"15";"0";"0";"17";"16";"62";"48";"0";"0";"58";60;"61";"48";"0";"0";"55";58;"393";"s";"0";"0";"s";"485";"138";"s";"0";"0";"s";"184";"489";"s";"0";"0";"s";"605";"42";"s";"0";"0";"s";"64";"33";"s";"0";"0";"s";"55";"s";"s";"0";"0";"s";"38";"s";"s";"0";"0";"0";"28";"27";"16";"0";"0";"0";"43";"46";"s";"0";"0";"s";"64";"110";"s";"0";"0";"s";"153";"315";"14";"0";"0";"14";"343";"11";"5";"0";"0";"s";"10";"15";"5";"0";"0";"10";"13";"13";"3";"0";"0";"10";10
"Arbellara";"2A018";2019;"102";"s";"0";"0";"s";151;"49";"s";"0";"0";"s";"70";"s";"s";"0";"0";"s";"26";"s";"s";"0";"0";"0";"25";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"1";"s";"0";"0";"s";1;"2";"s";"0";"0";"s";2;"24";"s";"0";"0";"s";23;"49";"s";"0";"0";"s";45;"44";"s";"0";"0";"s";40;"s";"s";"0";"0";"s";"21";"s";"s";"0";"0";"s";"11";"s";"s";"0";"0";"0";"25";"s";"s";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"21";"s";"0";"0";"s";"34";"s";"s";"0";"0";"0";"21";"s";"0";"0";"0";"0";"s";"15";"s";"0";"0";"s";"15";"62";"s";"0";"0";"s";58;"61";"s";"0";"0";"s";56;"s";"s";"0";"0";"s";"53";"s";"s";"0";"0";"s";"17";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"13";"s";"s";"0";"0";"0";"11";"s";"s";"0";"0";"s";"27";"10";"s";"0";"0";"s";"9";"11";"s";"0";"0";"s";"9";"9";"s";"0";"0";"s";5
"Arbori";"2A019";2019;"49";"s";"0";"s";"s";62;"s";"s";"0";"s";"s";"33";"s";"s";"0";"s";"0";"17";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"1";"s";"0";"s";"s";1;"2";"s";"0";"s";"s";2;"26";"s";"0";"s";"s";26;"48";"s";"0";"s";"s";48;"45";"s";"0";"s";"s";45;"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"14";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"17";"s";"s";"0";"s";"s";"17";"s";"s";"0";"s";"s";71;"s";"s";"0";"s";"s";75;"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"16";"9";"s";"0";"s";"s";"9";"10";"s";"0";"s";"s";"11";"7";"s";"0";"s";"s";7
"Argiusta-Moriccio";"2A021";2019;"72";"s";"0";"0";"s";86;"s";"s";"0";"0";"s";"52";"s";"s";"0";"0";"s";"25";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";1;"s";"s";"0";"0";"s";2;"s";"s";"0";"0";"s";29;"s";"s";"0";"0";"s";47;"s";"s";"0";"0";"s";44;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"22";"s";"s";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"30";"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"s";74;"s";"s";"0";"0";"s";80;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"34";"s";"s";"0";"0";"s";"9";"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"s";14
"Arro";"2A022";2019;"41";"11";"0";"0";"13";65;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"16";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"s";"0";"0";"s";1;"2";"s";"0";"0";"s";2;"30";"s";"0";"0";"s";29;"44";"s";"0";"0";"s";42;"33";"s";"0";"0";"s";30;"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"s";"16";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"16";"s";"s";"0";"0";"s";"s";"12";"s";"0";"0";"s";"14";"70";"s";"0";"0";"s";68;"70";"s";"0";"0";"s";67;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"s";"11";"s";"0";"0";"s";"10";"19";"s";"0";"0";"s";"16";"18";"s";"0";"0";"s";13
"Aullène";"2A024";2019;"95";"38";"0";"s";"s";145;"46";"s";"0";"s";"s";"72";"14";"s";"0";"s";"s";"25";"s";"s";"0";"0";"s";"30";"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"1";"s";"0";"s";"s";1;"2";"s";"0";"s";"s";2;"26";"s";"0";"s";"s";30;"39";"s";"0";"s";"s";40;"36";"s";"0";"s";"s";34;"s";"s";"0";"s";"s";"22";"s";"s";"0";"0";"s";"s";"23";"s";"0";"s";"s";"35";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"s";"0";"0";"s";"0";"s";"s";"s";"0";"s";"s";"s";"12";"s";"0";"s";"s";"23";"s";"s";"0";"0";"s";"25";"19";"s";"0";"s";"s";"18";"69";"s";"0";"s";"s";66;"73";"s";"0";"s";"s";67;"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"s";"s";"15";"s";"s";"0";"s";"s";"33";"10";"s";"0";"s";"s";"10";"14";"s";"0";"s";"s";"11";"13";"s";"0";"s";"s";8
"Azilone-Ampaza";"2A026";2019;"109";"s";"0";"0";"s";161;"56";"s";"0";"0";"s";"81";"28";"s";"0";"0";"s";"40";"s";"s";"0";"0";"s";"21";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"s";"0";"0";"0";"s";"1";"s";"0";"0";"s";1;"2";"s";"0";"0";"s";2;"37";"s";"0";"0";"s";35;"53";"s";"0";"0";"s";49;"45";"s";"0";"0";"s";42;"14";"s";"0";"0";"s";"26";"s";"s";"0";"0";"s";"14";"s";"s";"0";"0";"0";"26";"s";"s";"0";"0";"0";"15";"0";"0";"0";"0";"0";"0";"s";"0";"0";"0";"s";"s";"17";"s";"0";"0";"s";"30";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"24";"15";"s";"0";"0";"s";"15";"66";"s";"0";"0";"s";63;"70";"s";"0";"0";"s";64;"s";"s";"0";"0";"s";"66";"s";"s";"0";"0";"0";"15";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"12";"s";"0";"0";"0";"s";"12";"29";"s";"0";"0";"s";"41";"10";"s";"0";"0";"s";"10";"13";"s";"0";"0";"s";"12";"10";"s";"0";"0";"s";10
"Azzana";"2A027";2019;"s";"s";"0";"0";"s";50;"s";"s";"0";"0";"s";"31";"s";"s";"0";"0";"s";"18";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"s";"s";"0";"0";"s";1;"s";"s";"0";"0";"s";2;"s";"s";"0";"0";"s";29;"s";"s";"0";"0";"s";41;"s";"s";"0";"0";"s";33;"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"15";"s";"s";"0";"0";"s";"15";"s";"s";"0";"0";"s";70;"s";"s";"0";"0";"s";73;"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"0";"s";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"s";"s";"0";"0";"s";"19";"s";"s";"0";"0";"s";"9";"s";"s";"0";"0";"s";"13";"s";"s";"0";"0";"s";11
"Balogna";"2A028";2019;"73";"s";"0";"s";"s";115;"43";"s";"0";"s";"s";"70";"23";"s";"0";"0";"s";"41";"s";"s";"0";"s";"s";"s";"0";"s";"0";"0";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"0";"s";"0";"0";"0";"0";"0";"0";"1";"s";"0";"s";"s";1;"2";"s";"0";"s";"s";2;"30";"s";"0";"s";"s";33;"52";"s";"0";"s";"s";53;"47";"s";"0";"s";"s";48;"s";"s";"0";"s";"s";"21";"s";"s";"0";"0";"s";"13";"s";"s";"0";"0";"0";"16";"s";"s";"0";"0";"s";"20";"0";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"20";"s";"s";"0";"0";"s";"31";"14";"s";"0";"s";"s";"18";"74";"s";"0";"s";"s";69;"77";"s";"0";"s";"s";70;"s";"s";"0";"0";"s";"58";"s";"s";"0";"s";"0";"12";"s";"s";"0";"0";"s";"s";"s";"s";"0";"s";"0";"s";"s";"s";"0";"s";"0";"s";"s";"s";"0";"0";"0";"s";"s";"0";"0";"0";"s";"s";"s";"s";"0";"0";"0";"s";"s";"s";"0";"s";"s";"s";"s";"s";"0";"0";"s";"s";"s";"s";"0";"0";"s";"37";"10";"s";"0";"s";"s";"10";"15";"s";"0";"s";"s";"12";"15";"s";"0";"s";"s";10
